AnonymousSpecimenID	species.in.tree	SpeciesID	CommonName	DateCollected	Day	Month	FEtGTest1_Contents	FEtGTest1_Wtmg	FEtGTest1_conc_pgmg	FEtGTest1_conc_AbsPres	FiltF_Avg_Wtmg	FiltF_Avg_pgmg	FiltF_Avg_AbsIncPres	FiltF_Avg_Notes	LEtG_TubeID	LEtG_Wt_mg	LEtG_ngg	LEtG_ngg_plotting	LEtG_AbsIncPres	LEtG_Notes	Habitat	Trophic.Level	Trophic.Niche	Primary.Lifestyle	NectFrug.Other	NectFrug.Gran.Other	Nect.NonNect	FiltF_Avg_EtG_AbsIncPresBinom
MVZ:Bird:196056	Turdus_migratorius	Turdus_migratorius	American_Robin	12-Nov-2018	12	11	Body_feathers	9.0	27.43	27.43	9.0	27.43	Present	one_positive_reading	L16	1.2157	10.66	10.66	Present	NA	Forest	Omnivore	Invertivore	Generalist	Other	Other	Non-nectarivore	1

MVZ:Bird:184818	Calypte_anna	Calypte_anna	Annas_Hummingbird	21-Jun-2018	21	6	All_feathers	23.9	17.99	17.99	23.85	31.95	Present	Averaged_two_positives	NA	NA	NA	NA	NA	NA	Woodland	Herbivore	Nectarivore	Aerial	Nectarivore.Frugivore	Nectarivore.Frugivore	Nectarivore	1

MVZ:Bird:196028	Calypte_anna	Calypte_anna	Annas_Hummingbird	18-Apr-2020	18	4	All_feathers	20.9	18.7	18.7	20.9	18.70	Present	"Used_positive_tube_(one_positive,_one_negative)"	NA	NA	NA	NA	NA	NA	Woodland	Herbivore	Nectarivore	Aerial	Nectarivore.Frugivore	Nectarivore.Frugivore	Nectarivore	1

MVZ:Bird:196030	Calypte_anna	Calypte_anna	Annas_Hummingbird	20-Apr-2018	20	4	All_feathers	22.3	13.9	13.9	21.9	45.05	Present	Averaged_two_positives	NA	NA	NA	NA	NA	NA	Woodland	Herbivore	Nectarivore	Aerial	Nectarivore.Frugivore	Nectarivore.Frugivore	Nectarivore	1

MVZ:Bird:196039	Calypte_anna	Calypte_anna	Annas_Hummingbird	23-Apr-2018	23	4	All_feathers	21.2	23.1	23.1	20.45	36.80	Present	Averaged_two_positives	NA	NA	NA	NA	NA	NA	Woodland	Herbivore	Nectarivore	Aerial	Nectarivore.Frugivore	Nectarivore.Frugivore	Nectarivore	1

MVZ:Bird:196032	Calypte_anna	Calypte_anna	Annas_Hummingbird	29-Oct-2018	29	10	Body_feathers_1	13.5	21.72	21.72	13.5	21.72	Present	one_positive_reading	L29	0.15	0	0	Absent	NA	Woodland	Herbivore	Nectarivore	Aerial	Nectarivore.Frugivore	Nectarivore.Frugivore	Nectarivore	1

MVZ:Bird:196033	Calypte_anna	Calypte_anna	Annas_Hummingbird	14-Nov-2018	14	11	Body_feathers_1	10.1	NA	0	26.6	44.22	Present	"Used_positive_tube_(one_positive,_one_inconclusive)"	L1	0.1408	0	0	Absent	NA	Woodland	Herbivore	Nectarivore	Aerial	Nectarivore.Frugivore	Nectarivore.Frugivore	Nectarivore	1

MVZ:Bird:196034	Calypte_anna	Calypte_anna	Annas_Hummingbird	6-Nov-2018	6	11	Body_feathers_1	12.0	23.52	23.52	13.15	30.44	Present	Averaged_two_positives	L2	0.1433	0	0	Absent	NA	Woodland	Herbivore	Nectarivore	Aerial	Nectarivore.Frugivore	Nectarivore.Frugivore	Nectarivore	1

MVZ:Bird:196035	Calypte_anna	Calypte_anna	Annas_Hummingbird	19-Nov-2018	19	11	Body_feathers_1	13.0	47.19	47.19	13.0	47.19	Present	"Used_positive_tube_(one_positive,_one_inconclusive)"	L8	0.1439	14.66	0	Inconclusive	failed_mass_ratio_	Woodland	Herbivore	Nectarivore	Aerial	Nectarivore.Frugivore	Nectarivore.Frugivore	Nectarivore	1

MVZ:Bird:196029	Calypte_anna	Calypte_anna	Annas_Hummingbird	1-Jan-2019	1	1	Body_feathers_1	9.0	89.63	89.63	9.0	89.63	Present	one_positive_reading	L11	0.1531	37.98	37.98	Present	NA	Woodland	Herbivore	Nectarivore	Aerial	Nectarivore.Frugivore	Nectarivore.Frugivore	Nectarivore	1

MVZ:Bird:196031	Calypte_anna	Calypte_anna	Annas_Hummingbird	1-Jan-2019	1	1	Body_feathers_1	9.9	40.91	40.91	10.5	59.75	Present	Averaged_two_positives	L9	0.1734	14.89	14.89	Present	NA	Woodland	Herbivore	Nectarivore	Aerial	Nectarivore.Frugivore	Nectarivore.Frugivore	Nectarivore	1

MVZ:Bird:196036	Calypte_anna	Calypte_anna	Annas_Hummingbird	4-Oct-2018	4	10	Body_feathers_1	9.0	34.35	34.35	9.0	34.35	Present	one_positive_reading	L12	0.1659	45.37	45.37	Present	NA	Woodland	Herbivore	Nectarivore	Aerial	Nectarivore.Frugivore	Nectarivore.Frugivore	Nectarivore	1

MVZ:Bird:196037	Calypte_anna	Calypte_anna	Annas_Hummingbird	9-Dec-2018	9	12	Body_feathers_1	27.1	85.42	85.42	27.1	85.42	Present	one_positive_reading	L13	0.131	0	0	Absent	NA	Woodland	Herbivore	Nectarivore	Aerial	Nectarivore.Frugivore	Nectarivore.Frugivore	Nectarivore	1

MVZ:Bird:195875	Calypte_anna	Calypte_anna	Annas_Hummingbird	29-Apr-2014	29	4	Body_feathers_1	10.3	19.39	19.39	10.3	19.39	Present	one_positive_reading	L14	0.1627	0	0	Absent	NA	Woodland	Herbivore	Nectarivore	Aerial	Nectarivore.Frugivore	Nectarivore.Frugivore	Nectarivore	1

MVZ:Bird:196038	Calypte_anna	Calypte_anna	Annas_Hummingbird	7-Nov-2018	7	11	Body_feathers_1	10.2	19.83	19.83	10.2	19.83	Present	one_positive_reading	L25	0.1342	14.48	14.48	Present	NA	Woodland	Herbivore	Nectarivore	Aerial	Nectarivore.Frugivore	Nectarivore.Frugivore	Nectarivore	1

MVZ:Bird:196019	Patagioenas_fasciata	Patagioenas_fasciata	Band-tailed_Pigeon	11-Feb-2015	11	2	Body_feathers	20.6	0	0	20.6	0.00	Absent	One_negative	NA	NA	NA	NA	NA	NA	Forest	Herbivore	Granivore	Terrestrial	Other	Granivore	Non-nectarivore	0

MVZ:Bird:196018	Patagioenas_fasciata	Patagioenas_fasciata	Band-tailed_Pigeon	28-Mar-2015	28	3	Body_feathers	13.8	14.36	0	32	60.81	Present	"Used_positive_tube_(one_positive,_one_inconclusive)"	NA	NA	NA	NA	NA	NA	Forest	Herbivore	Granivore	Terrestrial	Other	Granivore	Non-nectarivore	1

MVZ:Bird:196020	Patagioenas_fasciata	Patagioenas_fasciata	Band-tailed_Pigeon	19-Jan-2015	19	1	Body_feathers	18.3	14.46	0	49.9	15.50	Present	"Used_positive_tube_(one_positive,_one_inconclusive)"	NA	NA	NA	NA	NA	NA	Forest	Herbivore	Granivore	Terrestrial	Other	Granivore	Non-nectarivore	1

MVZ:Bird:196021	Patagioenas_fasciata	Patagioenas_fasciata	Band-tailed_Pigeon	19-Jan-2015	19	1	Body_feathers	15.6	60.5	60.5	15.6	60.50	Present	one_positive_reading	NA	NA	NA	NA	NA	NA	Forest	Herbivore	Granivore	Terrestrial	Other	Granivore	Non-nectarivore	1

MVZ:Bird:196022	Patagioenas_fasciata	Patagioenas_fasciata	Band-tailed_Pigeon	13-Jan-2015	13	1	Body_feathers	9.7	39.34	0	44.1	25.77	Present	"Used_positive_tube_(one_positive,_one_inconclusive)"	NA	NA	NA	NA	NA	NA	Forest	Herbivore	Granivore	Terrestrial	Other	Granivore	Non-nectarivore	1

MVZ:Bird:196050	Hirundo_rustica	Hirundo_rustica	Barn_Swallow	1-Jun-2020	1	6	Feather_-_Rachis/calamus	21.1	0	0	21.1	0.00	Absent	"one_inconclusive,_one_negative"	NA	NA	NA	NA	NA	NA	Human_Modified	Carnivore	Invertivore	Aerial	Other	Other	Non-nectarivore	0

MVZ:Bird:196070	Thryomanes	Thryomanes_bewickii	Bewicks_Wren	13-May-2016	13	5	Body_feathers	8.8	23.47	0	NA	0.00	Inconclusive	Both_inconclusive	NA	NA	NA	NA	NA	NA	Shrubland	Carnivore	Invertivore	Generalist	Other	Other	Non-nectarivore	0

MVZ:Bird:196071	Thryomanes	Thryomanes_bewickii	Bewicks_Wren	9-Oct-2018	9	10	Body_feathers	18.5	9.33	0	NA	0.00	Inconclusive	Both_inconclusive	NA	NA	NA	NA	NA	NA	Shrubland	Carnivore	Invertivore	Generalist	Other	Other	Non-nectarivore	0

Specimen33	Archilochus_alexandri	Archilochus_alexandri	Black-chinned_Hummingbird	15-May-2021	15	5	Body_feathers	14.1	29.44	29.44	14.1	29.44	Present	one_positive_reading	NA	NA	NA	NA	NA	NA	Forest	Herbivore	Nectarivore	Aerial	Nectarivore.Frugivore	Nectarivore.Frugivore	Nectarivore	1

MVZ:Bird:196051	Bombycilla_cedrorum	Bombycilla_cedrorum	Cedar_Waxwing	17-Jan-2019	17	1	Feather_-_Rachis/calamus	24.4	0	0	24.4	0.00	Absent	one_negative	NA	NA	NA	NA	NA	NA	Woodland	Herbivore	Frugivore	Insessorial	Nectarivore.Frugivore	Nectarivore.Frugivore	Non-nectarivore	0

MVZ:Bird:196044	Uria_aalge	Uria_aalge	Common_Murre	19-Aug-2014	19	8	Body_feathers	15.8	0	0	15.8	0.00	Absent	One_negative	NA	NA	NA	NA	NA	NA	Marine	Carnivore	Aquatic_predator	Aquatic	Other	Other	Non-nectarivore	0

MVZ:Bird:196040	Uria_aalge	Uria_aalge	Common_Murre	1-Sep-2014	1	9	Body_feathers	15.7	0	0	15.7	0.00	Absent	One_negative	NA	NA	NA	NA	NA	NA	Marine	Carnivore	Aquatic_predator	Aquatic	Other	Other	Non-nectarivore	0

MVZ:Bird:196041	Uria_aalge	Uria_aalge	Common_Murre	27-Oct-2014	27	10	Body_feathers	15.6	8.6	0	NA	0.00	Inconclusive	Both_inconclusive	NA	NA	NA	NA	NA	NA	Marine	Carnivore	Aquatic_predator	Aquatic	Other	Other	Non-nectarivore	0

MVZ:Bird:196043	Uria_aalge	Uria_aalge	Common_Murre	14-Aug-2015	14	8	Body_feathers	18	0	0	18	0.00	Absent	One_negative	NA	NA	NA	NA	NA	NA	Marine	Carnivore	Aquatic_predator	Aquatic	Other	Other	Non-nectarivore	0

MVZ:Bird:196042	Uria_aalge	Uria_aalge	Common_Murre	8-Aug-2016	8	8	Body_feathers	18.3	13.4	0	NA	0.00	Inconclusive	Both_inconclusive	NA	NA	NA	NA	NA	NA	Marine	Carnivore	Aquatic_predator	Aquatic	Other	Other	Non-nectarivore	0

Specimen40	Calypte_costae	Calypte_costae	Costas_Hummingbird	5-Apr-2021	5	4	Body_feathers	15.8	24.46	0	NA	0.00	Inconclusive	Both_inconclusive	NA	NA	NA	NA	NA	NA	Shrubland	Herbivore	Nectarivore	Aerial	Nectarivore.Frugivore	Nectarivore.Frugivore	Nectarivore	0

MVZ:Bird:196062	Junco_hyemalis	Junco_hyemalis	Dark-eyed_Junco	20-Oct-2018	20	10	Body_feathers	8.0	49.89	49.89	8.0	49.89	Present	one_positive_reading	L4	0.3729	0	0	Absent	NA	Forest	Herbivore	Granivore	Generalist	Other	Granivore	Non-nectarivore	1

MVZ:Bird:196061	Junco_hyemalis	Junco_hyemalis	Dark-eyed_Junco	29-Jan-2019	29	1	Body_feathers	9.6	41.22	41.22	9.6	41.22	Present	one_positive_reading	L5	1.0343	0	0	Absent	NA	Forest	Herbivore	Granivore	Generalist	Other	Granivore	Non-nectarivore	1

MVZ:Bird:196064	Junco_hyemalis	Junco_hyemalis	Dark-eyed_Junco	2-Nov-2018	2	11	Body_feathers	8.3	43.67	43.67	8.3	43.67	Present	one_positive_reading	L17	0.4916	0	0	Absent	NA	Forest	Herbivore	Granivore	Generalist	Other	Granivore	Non-nectarivore	1

MVZ:Bird:196060	Junco_hyemalis	Junco_hyemalis	Dark-eyed_Junco	5-Nov-2018	5	11	Body_feathers	10.7	26.16	26.16	10.7	26.16	Present	one_positive_reading	L18	0.5902	0	0	Absent	NA	Forest	Herbivore	Granivore	Generalist	Other	Granivore	Non-nectarivore	1

MVZ:Bird:196063	Junco_hyemalis	Junco_hyemalis	Dark-eyed_Junco	16-Nov-2016	16	11	Body_feathers	12.9	16.8	16.8	12.9	16.80	Present	one_positive_reading	L24	0.3632	0	0	Absent	NA	Forest	Herbivore	Granivore	Generalist	Other	Granivore	Non-nectarivore	1

MVZ:Bird:184213	Zonotrichia_atricapilla	Zonotrichia_atricapilla	Golden-crowned_Sparrow	21-Nov-2019	21	11	Body_feathers	7.9	20.93	0	NA	0.00	Inconclusive	Both_inconclusive	NA	NA	NA	NA	NA	NA	Shrubland	Herbivore	Omnivore	Generalist	Other	Other	Non-nectarivore	0

MVZ:Bird:196067	Zonotrichia_atricapilla	Zonotrichia_atricapilla	Golden-crowned_Sparrow	27-Oct-2019	27	10	Body_feathers	23.2	31.84	31.84	23.2	31.84	Present	one_positive_reading	NA	NA	NA	NA	NA	NA	Shrubland	Herbivore	Omnivore	Generalist	Other	Other	Non-nectarivore	1

MVZ:Bird:196068	Zonotrichia_atricapilla	Zonotrichia_atricapilla	Golden-crowned_Sparrow	8-Feb-2020	8	2	Body_feathers	7.1	17.78	0	38.6	42.51	Present	"Used_positive_tube_(one_positive,_one_inconclusive)"	NA	NA	NA	NA	NA	NA	Shrubland	Herbivore	Omnivore	Generalist	Other	Other	Non-nectarivore	1

MVZ:Bird:196066	Zonotrichia_atricapilla	Zonotrichia_atricapilla	Golden-crowned_Sparrow	10-Dec-2019	10	12	Body_feathers	19.5	18.66	0	NA	0.00	Inconclusive	Both_inconclusive	NA	NA	NA	NA	NA	NA	Shrubland	Herbivore	Omnivore	Generalist	Other	Other	Non-nectarivore	0

MVZ:Bird:196065	Zonotrichia_atricapilla	Zonotrichia_atricapilla	Golden-crowned_Sparrow	14-Jan-2019	14	1	Body_feathers	17	36.78	36.78	17	36.78	Present	one_positive_reading	NA	NA	NA	NA	NA	NA	Shrubland	Herbivore	Omnivore	Generalist	Other	Other	Non-nectarivore	1

MVZ:Bird:196054	Catharus_guttatus	Catharus_guttatus	Hermit_Thrush	23-Dec-2018	23	12	Feather_-_Rachis/calamus	25.5	11.8	11.8	25.5	11.80	Present	"Used_positive_tube_(one_positive,_one_negative)"	NA	NA	NA	NA	NA	NA	Forest	Omnivore	Invertivore	Generalist	Other	Other	Non-nectarivore	1

MVZ:Bird:196052	Troglodytes_aedon	Troglodytes_aedon	House_Wren	14-Oct-2014	14	10	Body_feathers_1	11.8	43.13	43.13	11.8	43.13	Present	one_positive_reading	L26	0.1125	0	0	Absent	NA	Shrubland	Carnivore	Invertivore	Insessorial	Other	Other	Non-nectarivore	1

MVZ:Bird:196053	Troglodytes_aedon	Troglodytes_aedon	House_Wren	20-Jul-2018	20	7	Body_feathers	17.1	18	0	50.2	47.83	Present	"Used_positive_tube_(one_positive,_one_inconclusive)"	NA	NA	NA	NA	NA	NA	Shrubland	Carnivore	Invertivore	Insessorial	Other	Other	Non-nectarivore	1

MVZ:Bird:196023	Archilochus_colubris	Archilochus_colubris	Ruby-throated_Hummingbird	12-Sep-2018	12	9	Body_feathers_1	10.9	NA	0	10.9	0.00	Inconclusive	one_inconclusive	L19	0.1242	0	0	Absent	NA	Woodland	Herbivore	Nectarivore	Generalist	Nectarivore.Frugivore	Nectarivore.Frugivore	Nectarivore	0

MVZ:Bird:196024	Archilochus_colubris	Archilochus_colubris	Ruby-throated_Hummingbird	15-Sep-2018	15	9	Body_feathers_1	12.3	0	0	12.3	0.00	Absent	One_negative	L20	0.1638	0	0	Absent	NA	Woodland	Herbivore	Nectarivore	Generalist	Nectarivore.Frugivore	Nectarivore.Frugivore	Nectarivore	0

MVZ:Bird:196025	Archilochus_colubris	Archilochus_colubris	Ruby-throated_Hummingbird	6-Sep-2018	6	9	Body_feathers_1	10.2	0	0	10.2	0.00	Absent	One_negative	L21	0.0987	0	0	Absent	NA	Woodland	Herbivore	Nectarivore	Generalist	Nectarivore.Frugivore	Nectarivore.Frugivore	Nectarivore	0

MVZ:Bird:196026	Archilochus_colubris	Archilochus_colubris	Ruby-throated_Hummingbird	16-Sep-2018	16	9	Body_feathers_1	14.4	11.69	0	12.8	0.00	Inconclusive	Both_inconclusive	L22	0.0939	0	0	Absent	NA	Woodland	Herbivore	Nectarivore	Generalist	Nectarivore.Frugivore	Nectarivore.Frugivore	Nectarivore	0

MVZ:Bird:196027	Archilochus_colubris	Archilochus_colubris	Ruby-throated_Hummingbird	27-Sep-2018	27	9	Body_feathers_1	9.2	0	0	9.2	0.00	Absent	"one_inconclusive,_one_negative"	L23	0.1473	0	0	Absent	NA	Woodland	Herbivore	Nectarivore	Generalist	Nectarivore.Frugivore	Nectarivore.Frugivore	Nectarivore	0

MVZ:Bird:196046	Elanus	Elanus_leucurus	White-tailed_Kite	26-Jun-2019	26	6	Body_feathers	22.6	17.78	0	45	42.30	Present	"Used_positive_tube_(one_positive,_one_inconclusive)"	NA	NA	NA	NA	NA	NA	Human_Modified	Carnivore	Vertivore	Aerial	Other	Other	Non-nectarivore	1

MVZ:Bird:196047	Elanus	Elanus_leucurus	White-tailed_Kite	14-Aug-2019	14	8	Body_feathers	18.1	46.4	0	NA	0.00	Inconclusive	Both_inconclusive	NA	NA	NA	NA	NA	NA	Human_Modified	Carnivore	Vertivore	Aerial	Other	Other	Non-nectarivore	0

MVZ:Bird:196048	Elanus	Elanus_leucurus	White-tailed_Kite	10-Apr-2019	10	4	Body_feathers	18.5	17.96	17.96	18.5	17.96	Present	one_positive_reading	NA	NA	NA	NA	NA	NA	Human_Modified	Carnivore	Vertivore	Aerial	Other	Other	Non-nectarivore	1

MVZ:Bird:196049	Elanus	Elanus_leucurus	White-tailed_Kite	26-Sep-2015	26	9	Body_feathers	15.7	19.62	0	43.5	21.42	Present	"Used_positive_tube_(one_positive,_one_inconclusive)"	NA	NA	NA	NA	NA	NA	Human_Modified	Carnivore	Vertivore	Aerial	Other	Other	Non-nectarivore	1

MVZ:Bird:196045	Elanus	Elanus_leucurus	White-tailed_Kite	2-Apr-2017	2	4	Body_feathers	19.4	0	0	19.4	0.00	Absent	One_negative	NA	NA	NA	NA	NA	NA	Human_Modified	Carnivore	Vertivore	Aerial	Other	Other	Non-nectarivore	0

MVZ:Bird:196069	Setophaga_coronata	Dendroica_coronata	Yellow-rumped_Warbler	15-Jan-2019	15	1	Feather_-_Vane/body_feathers	24.6	0	0	24.6	0.00	Absent	one_negative	NA	NA	NA	NA	NA	NA	Forest	Carnivore	Invertivore	Insessorial	Other	Other	Non-nectarivore	0
